Translate,en,kr,vi
VALIDATE.EMAIL,Please enter a valid email address (Ex: johndoe@domain.com),유효한 메일 주소를 입력하세요. (예: johndoe@domain.com),Vui lòng nhập một địa chỉ email hợp lệ (ví dụ: johndoe@domain.com).
VALIDATE.REQUIRED,This is a required field,필수 입력란입니다.,Đây là thông tin bắt buộc.
VALIDATE.LOGIN,The account sign-in was incorrect,로그인 계정이 올바르지 않습니다.,Tài khoản đăng nhập không đúng
VALIDATE.CONFIRM_PASSWORD,Please enter the same value again,다시 한번 입력해 주세요.,Vui lòng nhập lại mật khẩu lần nữa
VALIDATE.PHONE,Phone number is not valid,잘못된 전화번호 입니다.,Số điện thoại không hợp lệ
VALIDATE.NUMBER,Please enter numbers,숫자를 입력하세요.,Vui lòng nhập số
ACCOUNT.LOGIN_TITLE,Log in,로그인,Đăng nhập
ACCOUNT.LOGIN_WELCOME,Welcome!,환영합니다!,Chào mừng bạn!
ACCOUNT.CREATE_TITLE,Sign up,가입,Đăng ký
ACCOUNT.CREATENEW_TITLE,Create New Account,새로운 계정 생성,Tạo mới tài khoản
ACCOUNT.EDIT_TITLE,Edit Account,계정 변경,Chỉnh sửa tài khoản
ACCOUNT.MANAGE_TITLE,Manage Accounts,계정 관리,Quản lý tài khoản
ACCOUNT.RESETPASSWORD_TITLE,Reset your password,비밀번호를 변경해 주세요.,Cài đặt lại mật khẩu
ACCOUNT.SETPASSWORD_TITLE,Set your password,비밀번호를 설정하세요.,Cài đặt mật khẩu
ACCOUNT.FORGOT_TITLE,Forgot password?,비밀번호를 잊으셨습니까?,Quên mật khẩu?
ACCOUNT.EMAIL,User email,이메일,Email người dùng
ACCOUNT.PASSWORD,Password,비밀번호,Mật khẩu
ACCOUNT.REMEMBERME,Remember me,기억해 주세요.,Ghi nhớ tôi
ACCOUNT.CONFIRM_PASSWORD,Confirm Password,비밀번호 확인,Xác nhận mật khẩu
ACCOUNT.PHONE,Phone number (optional),전화 번호 (선택),Số điện thoại (tùy chọn)
ACCOUNT.PHONE_REQUIRED,Phone number,전화 번호,Số điện thoại
ACCOUNT.CUSTOMER_TYPE,Choose your Type,유형 선택,Chọn loại tài khoản
ACCOUNT.FIRST_NAME,First name,이름,Họ
ACCOUNT.LAST_NAME,Last name,성,Tên
ACCOUNT.VERIFIED_STATUS,Verified status,인증 상태,Trạng thái xác thực
ACCOUNT.LINK_FORGOTPASSWORD,Forgot password?,비밀번호를 잊으셨습니까?,Quên mật khẩu?
ACCOUNT.STATUS,Status,상태,Trạng thái
ACCOUNT.TYPE,Role,유형,Phân quyền
ACCOUNT.THANKYOU,Thank you!,감사합니다!,Cám ơn!
ACCOUNT.THANKYOU_CREATED,Your account has been created successfully,계정이 성공적으로 생성되었습니다.,Tài khoản đã được tạo thành công
ACCOUNT.THANKYOU_CREATEDNOTE,Please check your email to verify your account,계정 인증 작업을 위해 이메일을 확인해 주세요.,Vui lòng kiểm tra email để xác thực tài khoản của bạn
ACCOUNT.THANKYOU_RESETPW,A reset password link has been sent to your email address,비밀번호 변경이 가능한 링크가 이메일로 전송되었습니다.,Một url đặt lại mật khẩu đã được gửi tới địa chỉ email của bạn
ACCOUNT.THANKYOU_RESETPWNOTE,Please check your mail,이메일을 확인해주세요.,Vui lòng kiểm tra email
ACCOUNT.VERIFIED_PAGETITLE,Account Verification,계정 인증,Xác thực tài khoản
ACCOUNT.VERIFIED_TITLE,Thank you!,감사합니다!,Cám ơn!
ACCOUNT.VERIFIED_MESSAGE,Your account has been verified,계정 인증 작업이 성공적으로 이루어졌습니다.,Tài khoản của bạn đã được xác thực
ACCOUNT.VERIFIED_MOREINFO,,,
ACCOUNT.SELECT_ALL,All,모두 선택,Tất cả
ACCOUNT.SELECT,Select ...,선택,Chọn ...
ACCOUNT.MESSAGE_REQUIRED,Message,메시지,Tin nhắn
MENU.ACCOUNT_SETUP,Account Setup,계정 설정,Quản lý tài khoản
MENU.NEW_ORDER,New order,새로운 주문,Tạo đơn hàng
